"","text"
"19","i love this app the mediation some how work and it makes me relieve a little bit however you still have to buy the premium package to unlock all the mediation"
"20","thank you for accompany me everyday i can sleep over a and release my feelings the apps very user friendly and easy to use when i feel anxiety i so clearly tune on riliv and make me relax for a minute"
"21","its a nice app it makes me go to sleep easier good contents inside can you add a dark mode option for the next update it will be better for those who are going to sleep"
"22","recently starting to try riliv because i wanna try meditation to relieve my anxiety soul and i love the app so much so glad i stumbled into this and found what i need especially bisa coba konseling juga pertahankan terus riliv"
"23","very easy to use so mindful and helpful application especially for connecting more to ourself and be more aware about surrounding very good app cant wait to be more self improved by riliv thank you riliv"
"24","riliv really helps me alot during in my worst time guide meditations journalling it helps me to discover my own self and work magically bless you to whoever made this app thank you"
"25","the app itself is ok but the counseling feature is a big no no paid for a x counseling and i thot u can directly talk to ur therapist but u hv to schedule an appmnt first and i took me several days to get scheduled with super slow response that i just gave up and missed it it claims that if u missed ur appnmt the therapist will still give u one way advice based on ur problems but i hvnt received anything up until now"
"26","very good even for someone like me who isnt from indonesia the psikolog is very neutral that i dont feel nervous talking to them feel more comfortable instead"
"27","app is great tech team doing a great job but the psychologist far way too biased jugdemental and even say bad words about my story i dont know how they source psychologist or how the psychologist got their license in the first place"
"28","suddenly stop  it cannot be opened why is that"
"29","riliv application is perfect for those of you who feel that the world will collapse right above your head for those of you who feel that your life is full of problems for the apps developers litle things will make this apps perfect"
"30","the meditations are good the journals help me to write things down the counselors are good people"
"31","i wish you could use this even if you arent above  years old im under  and i desperately need professional help but it seems like i cant get my parents to consent to this i really dont want to wait a couple of years just so i can get professional help this is the only app that has prices that are affordable"
"32","i am new to this app i got free for doing meditation it really helps me to improve my meditation skills"
"33","mood tracker feature is very useful meditation series is complete"
"34","i love the meditation content just head up to rilivco to claim free meditation guys"
"35","this app really help me to deal with my anxiety with a relativelycheap cost thank youu"
"36","so far ive been loving using riliv to do meditation or journal my emotion it helps a lot thank you"
"37","very helpful app the meditation class is worked for relaxing my mind"
"38","the meditation helps me thank you"
"39","very helpful great service and the psychologist are very nice good job"
"40","it was really helpful how they guide the meditation even in noisy area i still feel comfort to involve in meditation ngena banget deeh cus coba deh sesi meditasinyaaplgi karya ank bangsa sndri sukses terus riliv "
"41","the app is helpful the voice of therapist is so calm i can feel peace when i meditate thanks riliv"
"42","really helpful and easy to use hope it grows bigger and make more people smile"
"43","learn meditation from this app so far it helps me to be more calm havent tried another feature"
"44","thankyou very much riliv very helpful me always do the improvement ya include add the other categories of meditation and thankyou for presence nkcthi in riliv please add the other qoutes after meditation yes"
"45","i rather go to psychology today granted the website mostly releasing articles but it helps more than this app"
"46","love it the app helps me a lot to practice mbsr based meditation consistantly everyday"
"47","this app helps a lot about my mental health super helpful and informative"
"48","just tried counseling session and its really great love it"
"49","great apps this one really helps me i wish there will be more development service"
"50","good app easy to use nice interface helpful"
"51","i love it so much bahagia karena ada riliv di indonesia  so much helpful and light me up"
"52","very helpfulcan teach me how to meditation thank you"
"53","tried counseling the counselor said that i dont get to feel bad about myself because of that and then implied that it was my own fault felt worse than when i started using lol cant even be honest she asked do you feel better i said not really cause its the truth she got pissed off and started to berate me about not feeling better after yelling i am good enough  times as she told me to"
"54","love it meditation series is great pricing is reasonable"
"55","i havent got any response fromthe counsellpr and already paid idr k its like a waste"
"56","i thought i need someone to talk to i need to tell them my problem so they know that i have a hard time but not everyone will understand and with this app i realise that all i need is consolation and support thank you riliv im relieved to find this app"
"57","its a good app for meditation and make my mental health better"
"58","all in one you got meditation music even your private counselorphysicologist"
"59","thanks this app does really work i follow your tiktok account too"
"60","my chat is pending for a long time but my wifi is working"
"61","not as helpful  responsive as i expected sudah bayar paket tapi schedule tidak sesuai tau tau paket sudah expire tanpa ada sesi konsultasi buang buang uang id recommend just visit a psychologist instead if youve gathered your courage to seek for help"
"62","im better after doing my counseling and i listen meditation record before i sleep"
"63","nice app very helpful for me"
"64","now i have found many solutions to make myself happy ive been through a lot and really need help it really helps me to move forward"
"65","so good apps and make me so relax and comfortable with myself idk its very good apps"
"66","good apps for help me aware my mental health"
"67","this is very good app thank you to make my days more mindful "
"68","it helps to brighten ur mood and relax"
"69","i love mengisi kuisioner"
"70","totally usefull for me i hope next day i stay enjoy may session on this app"
"71","thanks devs need to improve some ui but thank you for making this app"
"72","sering banget nemenin di malam hari healing relaxing nice app to try"
"73","lagi error ya  ga bisa sign up nih"
"74","very good app for healing  it helps my mental health  thank u riliv"
"75","very helpful and bring some peaceful things"
"76","error when signing up"
"77","its a really good app for mindfulness"
"78","its work for my daily love it"
"79","very helpful application thank you riliv"
"80","nice app hope can ease my anxiety"
"81","easy to use this application really helpful for me"
"82","amazing enjoy with your self"
"83","hope more people will donload and use this app daily"
"84","penambahan metode bayar dgn cc would be nice "
"85","its helpfull thank you so much"
"86","so sorry to rate this i have an issues with my mental health yet the psychologist ask me for rescheduling the appointment and when the times come for me to take the appointment there is no response from the psychologist can i have my refund pls i bought about k for the consultation"
"87","really helpful app thank you"
"88","this app makes me relax thank you"
"89","this application is really good it really helps a lot"
"90","fast response very helpful"
"91","how do i remove the meditate remonders its anooying and disrupting my calendar"
"92","great app thankyou riliv"
"93","excellent very helpful app"
"94","really love this apps it help me alot"
"95","i paid but no services at all sucks"
"96","so far so good"
"97","very helpful thank you riliv "
"98","easy to use thanks"
"99","the app works really well"
"100","awesome and practical"
"101","riliv really helps me to conquer my anxiety getting away my stress be positif and mindfully person"
"102","usefull and very helpfull app"
"103","helped a lot during bad days"
"104","love so much this app"
"105","thank u for always be my friends in the midnight and in the day that i feel so bad"
"106","super helpfulll many thanksss"
"107","good for relaxing mind"
"108","proses register gagal done berhasil register"
"109","really helps me to feel much better"
"110","well done keep rock"
"111","love it very helpful"
"112","aplikasi paling the best"
"113","love uu thankyou so so much"
"114","this app is very great for someone like me"
"115","its helping reducing my stress"
"116","free  days if anyone want a referal code hpfppr"
"117","nice and easy"
"118","best than the other app"
"119","really helps me a lot"
"120","very useful apps"
"121","good for health"
"122","overall not bad thx riliv"
"123","its really reliefing"
"124","like wth we cant take counseling bc weve done self harm why tho im deleting sorry"
"125","thanks for helping"
"126","very nice app "
"127","i love this application"
"128","very helpful for me"
"129","very good apps"
"130","this app make me enjoying my life"
"131","good appsthankyou"
"132","really helping me release my emotions"
"133","this is amazing"
"134","it helps me to start a new day thank you"
"135","this apps helpful for me"
"136","good app so far"
"137","worth to try "
"138","good not great"
"139","great good job"
"140","not helpful for me"
"141","amazing meditation n concealing application luv luv"
"142","this app so good"
"143","i love this app"
"144","helps me going through my low"
"145","ok lets try and subscribe"
"146","this helps me sleep"
"147","hope its works"
"148","use my referral code jfaeqs"
"149","kode referral  vxyqi"
"150","dark mode please "
"151","aku barusan update aplikasi ini versi terbaru dan alhamdulillah jauh lebih baik dibandingkan versi sebelumnya beli paket chat x bisa pilih jadwal konseling  pilih psikolog juga sangat membantu buat aku yang bingung gapunya tempat cerita thank you riliv"
"152","sbnrny ku suka banget krn lengkap tapi suka byk error meditasi g bs diisi backsound error terus jurnal juga gagal  jd ga bs pencet panah next plis diperbaiki krn kontennya sangat membantu"
"153","selalu proses login error  sudah  hari berturutturut padahal sinyal dipakai youtube download aman aman saja aplikasi riliv nya sendiri pun sudah up to date"
"154","what a great app tp sayang konselornya slow respon dan waktunya kurang"
"155","ui nya bagus fitur yang disediakan terperinci dan berguna"
"156","aplikasinya ngelag padahal jaringannya bagusbagus aja update sudah tidak ngelag saat ini semoga tidak ngelag lagi kedepannya maju terus riliv"
"157","nunggu konfirmasi psikolog lama banget itu buat nentuin jadwal belum lg jadwalnya entah kapan sampai sekarang juga belum respon padahal urgent"
"158","media konseling yang selalu saya andalkan di saat butuh tempat untuk menampung kegelisahan saya pertahankan terus ya aplikasinya dan semoga ke depannya bisa lebih baik"
"159","selamat malam kenapa di app riliv saya selalu muncul proses gagal  ya sdh terjadi bbrp hari ini saya jadi gak bisa meditasi mohon untuk bantuannya "
"160","okela"
"161","tes kesehatan mental hasilnya butuh penanganan segera belain bayar sesi langsung lunas tp udah nunggu seharian psikolognya malah ga ada respon sesi berbayar hanya berlaku  hari kalo gini mah waktu sesi expire bukan karena user tp karena psikolog yg ga ada respon baru install mau langsung uninstall bukanny bikin legah malah nambahin emosi"
"162","really benefit for me  membantu ku ukt bisa bercerita dan mengenali diri ku sndri thnkyyou"
"163","plisla jangan lag mulu mana berat di baterai"
"164","aplikasi yang recommended untuk menjaga kesehatan mental"
"165","selama ini tidak ada masalah sama riliv karena alhamdulilah smua di lancarkan saja yang bermasalah cuman kadang waktu yang dipilih suka nggk tepat karena ada saja hal yang tak terduga dan di luar kendali"
"166","ok"
"167","sekarang riliv susah digunainnya kebanyakan loading"
"168","layanan konselornya ga cuma bisa loding doang tolong di perbaiki"
"169","aplikasi sering lemot sampai bikin tidak bisa meditasi online"
"170","the best"
"171","makasih riliv fasilitas yang free nya aja udh sangat membantu sukses terus untuk developer dan tim"
"172","lemot banget padahal sinyal full mau meditasi aja nunggu lama tolong d perbaiki lg konseling jg jadi tersendat"
"173","good thanks"
"174","nice"
"175","baru mau nyoba konselingnya semoga membantu memulihkan kedukaan saya will be edited soon"
"176","suka pokoknya"
"177","uiuxnya jelek ngapain ada button voucher dan referall di home menggangu padahal juga udah subscribe  tahun perbaiki dong ui nya biar gampang kenapa disetiap tab juga ada perpanjang paket baru juga subscribe tahunan minta diperpanjang kotor"
"178","bgs"
"179","nice app apk ini bagi sebagian orang termasuk saya lebih efektif dan efisien dibandingkan jurnaling manual kalau sedang mager menulis jurnal manual apk ini bisa jadi solusi apk ini bisa menjaga kesehatan mental tetap stabil karena di era ambiguity sekarang ini mental health sangat penting"
"180","mau coba konsul tapi pas pembayaran error terus"
"181","omg ramah sekali kaya baik"
"182","bagaimana cara hapus akun riliv"
"183","aplikasinya belum stabil tab kounseling sering bermasalah dan tidak bisa load"
"184","aplikasinya lemot bgt mw healing malah emosi"
"185","baru coba tapi udah excited bagus banget bagi para overthinker seperti aku untuk mengurai berbagai kecemasan dengan arahan untuk menulis jurnal mantapp"
"186","pembayaran saat konseling tidak bisa terima kasih"
"187","bagus berkembang dan membantu sekali meditasinya juara sih terimakasih riliv ditunggu hal hal positif lainnya"
"188","nice"
"189","aplikasinya selalu loading saat membuka seluruh fitur yang bikin saya jadi resah memakai aplikasi ini padahal jaringan wifi di tempat saya benarbenar bagus saya harap ini bisa diperbaiki segera"
"190","thats good"
"191","nice"
"192","data awal kota nggak bisa di search"
"193","bgus sih buat belajar menulis jurnal rasa syukur"
"194","umurnya dibatasi "
"195",""
"196","ga bisa login pakai fitur masuk dengan google loading terus stuck"
"197","good app"
"198","thx u"
"199","sangat membantu khususnya bisa berkonsultasi via teks karena ada masanya orangorang lebih mudah menyampaikan isi kepala via teks akan lebih baik jika bisa diakses via web pc juga khususnya untuk konsultasi karena konsultasi via video call teks lebih nyaman di pc tampilannya bisa lebih luasdan bisa mengetik dengan lebih leluasa"
"200","pertama kali konsultasi di sini dengan konselor alhamdulillah lancar dan terjawab dengan baik"
"201","saya tidak dapat membuka aplikasi ini  stuck di loading screen  proses login gagal "
"202","terimakasih riliv keberadaan app ini benar membantu untuk menjaga kesehatan mental saya sukses terus"
"203","sangat baik nih perlu dicoba buat kalian yg sedang gundah atau cm pengen curhat"
"204","aspek journaling dari aplikasi ini membantu banget buat refleksi diri"
"205","aplikasi ini sangat membantu saya mengatasi kecemasan"
"206","beberapa kali buka meditasi terganggu suara yang terputusputus saat menulis jurnal juga tibatiba hilang"
"207","great app"
"208","aplikasi bagus ada mood tracker jurnal mindfull sayangnya untuk mood tracker tidak bisa convert dalam bentuk report pdf karena bakal sangat membantu ketika konseling ke psikolog"
"209","suka bgt"
"210","jujur aja td mau aq kasih  tp yauda deh krn yg lainnya oke spt meditasinya yauda aq kasih  konselingnya sengaja gw pilih yg s katanya uda expert trnyata mba denia nya bnr feedbacknya too general kayak mahasiswa psikologi magang alhasil tuh  jam ga guna sia gw konseling juga  feedback too general utk yg gw uda pilih s ya  balasnya lama pdhl gw ketik secepat kilat lho dia sampe  menit blm balas jg jujur ini st time coba dan last time coba konseling online pake riliv"
"211","berguna sekali dibuat oleh orang yang memang berkecimpung didunianya"
"212","keren dan helpfull"
"213","cuma bisa input gender  tanggal lahir sementara negara dan kode negara tidak ada pilihan keterangan minta keyword lain jadi belum bisa akses fiturnya finally i have to uninstall it"
"214","membantu banget untuk yang punya mental health issues"
"215","sejauh ini app yg ada cukup baik"
"216","great app"
"217","iktatysm"
"218","sayang tidak ada opsi untuk menggubah ke bahasa inggris jadi saya sedikit agak susah dan canggung dan cenderung tidak ingin menggunakan  padahal bagus ada fitur journaling dan konseling "
"219","ada bug nih klo dengerin meditasi sambil buka apps lain lalu uda end sampai  menit tanpa dipercepat eh gak bisa next ke meditasi seri selanjutnya"
"220","sangat membantu"
"221","really help"
"222","bermanfaat banget aku udah merasakan kesehatan mental ku lebih baik dari fitur aplikasi ini terutama official social media nya yang selalu memberikan tips dan info serta giveaway nya "
"223","walaupun masih banyak yg bisa dioptimalkan sampai saat ini aplikasi riliv sangat membantu saya meditasi rutin menjadi menyenangkan kemudian journey dan jurnalnya juga bagus untuk journal mungkin bisa dibuat agar entry bisa dihapusdiedit untuk journey kadang saya tidak bisa tepat schedule dan harus mengulang lagi dari awal hari pertama akan sgt memudahkan bila proses bisa dilanjutkan walaupun tidak sesuai jadwal"
"224","sangat membantu saya ambil paket langganan  tahun yg meditasi sejak april saat diskon dan ternyata super wow tidak rugi sih pdhl ekspektasi awal agak rendah untuk aplikasi ini tapi ternyata kenyataannya sgt puas banyak pilihan guided meditation termasuk pilihan musik untuk tidur ini diluar jurnal paketan meditasi dgn pilihan mother tongue bahasa indonesia ternyata sangat membantu tp paling keren itu csnya responnya luar biasa cepat dan helpful banget"
"225","sangat membantu mengurangi stress sehari hari"
"226","tampilannya menarik fiturnya juga banyak psikolog sangat friendly"
"227","saya dapat belajar meditasi diri dengan mudah karena instruksi yang diberikan sangat jelas"
"228","desain nya bagus suara untuk meditasi jernih dan bikin tenang artokel jg bagus harga terjangkau"
"229","pertama kali download riliv meditasi sebelum tidurnya nyaman banget pertama kali telfon sama psikolog mba denia martini baik bangeettttt makasih yaa "
"230","menenangkan sekali"
"231","udh  hari meditasi pake ini selama itu jg gangguan cemas dan gangguan panik hampir nol sangat membantu kl ada kendala login atau apa pun cepat respon dan diperbaiki"
"232","awalawalnya sih aku suka karena membantu banget konselingnya juga oke tapi  hari terakhir ini knp journalnya eror ya tiap aku submit gak bisa pasti keulang dari awal pls look into this thanks"
"233","sangat membantu moodku jadi better sebelumnya aku sering sedih n overthinking gatau akarnya darimana semenjak aku meditasi trus journaling disini jadinya lebih baikkk recommended bgt ni app tysm buat tim yang buat app ini semoga bisa lebih baik lagi "
"234","udah coba konseling sama psikolognya senang karena waktunya mencukupi untuk bercerita dan psikolognya juga bisa memberi solusi tanpa menghakimi recommended guys untuk yang sekedar mau curhat ataupun yang memang perlu bantuan profesional untuk masalah mental "
"235","cuman sayang belum bisa konsul dengan konselor"
"236","berasa kayak punya teman curhat"
"237","belum mendapat respond padahan sudah melakukan transaksi dan psikolog online"
"238","terimakasih apl ini membantu saya dalam menyehatkan mental serta membantu saya dalam menangani rasa cemas mood emosi pola tidur"
"239","good"
"240","sudah lebih baik aplikasinya saran beri pilihan ketika melihat history juga dpt melihat quote yg didapat pada seusai meditasi selesai pada saat itu"
"241","soal pelayanan bagus tapi notifikasi untuk sesi via chat gak muncul dan untuk lihat chat terbaru harus keluar dan masuk roomnya lagi jadi sering terlewat chat dari psikolognya"
"242","baru pemula"
"243","aku suka sebenernya sama aplikasi ini meditasinya banyakkk dan fitur journal nya keren banget apalagi riliv journey nya seru bgt tapiii setiap meditasi selalu ga ketrack gitu setelah selesai dan udah kasih saran malah balik lagi ke halaman saran giliran diclose meditasi nya ga kecatet kalo udah selesai dilakuin jadinya riliv journey aku gak selesai full walaupun aku ngerjain semua task nya termasuk meditasi please diperbaikii dong huhu nanti aku edit jadi bintang kalo udah diupdate"
"244","jadwal konseling jam  ketika membuka jam  dan membuka menu konseling dianggap belum memiliki sesi konseling sehingga menjadi bingung sesi konseling tidak ditemukan dimanamana merasa sesi konseling hilang hingga jam  akhirnya muncul sesi konselingnya ketika sesi dimulai oleh psikolog tibatiba status sesi dianggap selesai dan muncul halaman review sesi muncul kembali tapi di chat terlihat sesi chat dimulai berulang kali terus menerus akhirnya psikolog chat via wa"
"245","bust pejuang mental health dan ingin tenang di sesi meditasi ini very good apps"
"246","ada bugs ketika menulis journal krn selalu stuck pada step terakhir ketika beri feedback jadinya journal tidak bisa di tambahkan baru maupun di save"
"247","sangat membantu saya dalam menghadapi kenyataan hidup terima kasih"
"248","bagus banget buat belajar meditasi"
"249","meditasi nya lengkap dan sangmat membantu keseharian"
"250","baru mau daftar aja loadingnya lama banget ujungnya proses gagal"
"251","lucky spin nya bahkan ga bs di putar "
"252","untuk sejauh ini lumayan masih baru jadi masih blm tau semua"
"253","great app"
"254","sangat membantu disaat saya butuh ketenangan"
"255","setiap lagi kalut langsung kesini latihan pernafasan meditasi nulis jurnal semuanya bikin aku lega terimakasih sudah ada membantu aku riliv"
"256","trimakasih sangat bermanfaat sekali"
"257","nice app"
"258","very helpful"
"259","great"
"260","aplikasi ini mempunyai banyak fitur fitur seperti mood tracker jurnal untuk bercerita dengan diri sendiri lagulagu meditasi yang membuat tenang aplikasi ini bermanfaat banget"
"261","sangat membantu"
"262","boljug"
"263","membantu banget semoga seterusnya kaya gini"
"264","good app "
"265","keren bet aplikasinya tapi sayangnya kalo udah ada paket dari referral ga bisa nambahin paket dari voucher"
"266","aku cukup tertarik dengan apps ini namun pada saat registrasi kotaku belum ada di list "
"267","kenapa kalo notif yang blast reminder meditasi gitu masuk tapi yang chat konseling kadang masuk kadang ga masuk kan jadi susah bikin schedulenya ka mohon dicek ya terima kasih"
"268","mba hening suaranya tenang x bisa tidur cepat dan lelap akan lebih baik kalau ada preferensi suara soalnya ada materi yang mengisi suaranya mas hening hmmkurang ngena sih kalau buat saya pribadi"
"269","padahal udah tau lama app ini tp baru download sekarang karena meditasiku udh bolong bgt dan myself needs ketenangan jadinya download ini utk ngebantu setelah di explore fiturnya bagus bgt mantap cukup memuaskan "
"270","mempengaruhi bgt terhadap gue yg sering kena panic attack"
"271","i love it mudah digunakan dan tersedia layanan konseling online banyak diskon nya pula"
"272","aplikasi ini sangat baik untuk self healing menurut pengalaman saya saya langsung berlangganan ke riliv premiumpro selama  tahun untuk keseimbangan mental saya di usia produktif utk kinerja optimal saya merasa bukan hanya kemampuan skill saja yg penting tetapi mindfulness juga memegang peranan penting hal ini sama pentingnya dengann olahraga fisik disini pikiran kita juga diajak workout thanks riliv"
"273","terima kasih aplikasinya sudah bisa dibuka lagi semoga servernya tidak sering down ya"
"274","baru install riliv tapi merasa sangat cocok "
"275","meditasi di riliv sangat bermanfaat kecemasanku jadi berkurang membantu tidur lebih nyenyak juga"
"276","semoga fitur fitur nya makin lengkap dan makin mudah untuk di gunakannya"
"277","karena aku pemula jadi menurutku aplikasi ini sangat membantu"
"278","bisa sihh luapin emosi tpi harus bayar kalau yg lainnyaaa  semoga ga usah dibayar yaaa"
"279","nice"
"280","terima kasih ya "
"281","good"
"282","good"
"283","great"
"284","best"
"285","sering seringin diskon yaa ngebantu bangett saran buat riliv mungkin tampilan aplikasi nya bisa lebih lucu ya meskipun udah lucu dibuat ada pintasan meditasi keseluruhan tanpa ada topik tertentu kynya enak oiya ditunggu sesi konseling by call nyaa"
"286","sebaiknya jgn gunakan utk konseling ya guys sy merasa diabaikan pdhl sdh nunggu  jam lebih tdk ada respon dr psikolognya drpd klian sdh membyr rb tp tdk dilayani mending tdk usah ada bnyk cara utk menyelesaikan beban klian dan sy yakin ada org di luar sana yg bs bantu klian tp mgkn bkn aplikasi ini semangat"
"287","sebetulnya tertarik mau coba konselingnya tapi kok harus centang saya tidak ada keinginan bunuh diri ya walapun saya belum pernah bener mencoba bunuh diri tapi jadi ragu deh kalo mau konseling takutnya malah judgemental atau gak cocok"
"288","aplikasi mentalhealth tersimple dan helpful banget bisa meditasi dan healing dengan fitur yang ada kita juga bisa track mood tiap hari disini mudah dipahami juga aplikasinya"
"289","ga ada menu setting ya  my dumbass ga sengaja ngesetting reminder meditasi ke calendar hp dan sekarang setiap hari di calendar saya penuh dg reminder meditasi lol gimana cara ngilanginnya "
"290","enak bgt valid no debat harus download mampusss"
"291","aplikasinya bagus saya suka tampilan bagus  mudah digunakan pop up notifnya juga unik sejauh ini banyak membantu untuk meditasinya fitur mood trackernya baguss update terbaru juga lebih bagus mungkin berharap kedepannya bisa lebih baik dan ada paket hemat nya lagi buat para pelajar yg menggunakan aplikasi ini meskipun misal nanti meditasi gak semua di open lock nya tapi lumayan kalau ada paket seperti ini thank you team"
"292","terimakasih sudah mengeluarkan aplikasi yang benar benar sangat membantu untuk diri saya menjadi lebih baik"
"293","asik banget ga paham lagu sukaaaa happyy pokonyaaa"
"294","aplikasi yg mudah untuk dioperasikan menuntun kita untuk lebih bisa mengekspresikan apa yg dirasakan"
"295","aplikasi menarik membantu pengembangan diri"
"296","sangat membantu menenangkan jiwa terima kasiih"
"297","aplikasi penuntun latihan mindfullness yg cukup komprehensif saya paling suka dgn fitur meditasinya yg memiliki banyak tipe"
"298","opsi terbaik buat kamu yg susah konsultasi secara face to face smoga layanan riliv makin keren ya"
"299","bagus suka bannget"
"300",""
"301","hello saya hubungi lewat aplikasi dan wa no respon padahal keterangannya x jam paling lama reapon dr konselor nya bisa refund aja ga ya "
"302","ngelag banget aplikasinya ga bisa play meditasinya tulisannya memuat terus kadang juga ngga stabil koneksinya ngereload terus padahal pakai aplikasi lainnya lancar"
"303","sangat bermanfaat"
"304","sangat membantu"
"305","alhamdulillah membantu banget pake kode ini ya di reward kalian hbchv"
"306","seneng bgt pas tau ada aplikasi ini  semoga bisa membantu mental healthku "
"307","tiap mau ganti halaman pasti loading lama lalu selalu error  merusak experiencenya disayangkan bgt padahal saya butuh bgt kesehatan mental"
"308","terimakasih telah membantuku melawan stress anxiety dan overthink juga membantuku untuk mendapat tidur yang berkualitas"
"309","membantu sekali dalam menenangkan diri"
"310","terima kasih sudah memfollowup keluhan saya semoga ke depannya semakin berkembang"
"311","ada banyak hal yang saya sukai dari aplikasi ini ada meditasi ada konseling dan ada journaling halhal yang membantu saya lebih mindfull"
"312","aplikasinya bagusguided meditasi nya bikin bisa tidurcuman akhir ini kok tidak bisa login ya susah banget masuk nya"
"313","woy tolong balas email  mohon dibalas segera saya ingin refund untuk konselingnya atau dipindahin ke paket meditasi yang  bulan aja"
"314","cool"
"315","helpfull"
"316","sangat membantu"
"317","sebenarnya saya suka aplikasinya tp udah x ini tibatiba aja kgk bisa jalan aplikasinya yg pertama sy uninstall terus instal lg lsg lancar hari ini kejadian lg tp udah di reinstall jg tetap aja kgk bs masuk tolong utk developer nya diperbaiki bug spt ini terimakasih"
"318","saya sangat tidak puas dengan server riliv yang terkadang bisa membuat chat yang masuk terlambat diterima pihak konselor dan klien padahal saya ingin memulai sesi konseling di jam tertentu namun karena pesan yang diterima tidak masuk akhirnya batal lagi dan lagi saya minta tolong untuk pihak riliv agar koneksi server bisa diperbaiki overall sejujurnya app ini sangat baik terutama untuk meditasinya semoga ke depannya bisa lebih ditingkatkan"
"319","aplikasinya bagus buat bantu meditasi terutama pemula "
"320","ini gimana sih notif di kalendernya gabisa dihapus ganggu banget"
"321","jadi lebih tenang menghadapi hidup yang keradd ini"
"322","sangat menolong baik dalam hal meditasi ataupun konsultasi online"
"323","thank you riliv sangat terbantu terutama dengan fitur bubble breath nya karena bisa bikin lebih rilekskembali fokus "
"324","terima kasih riliv"
"325","user friendly"
"326","sipp udah berhasil daftar n udah beli paket konsultasi juga kalo boleh saran app nya supaya bisa mode landscape dong  thanks nanti klo konsultasinya memuaskan saya kasih "
"327","menyenangkan menggunakan riliv saya kesulitan mencari psikolog di sekitar daerah saya saat ini riliv benarbenar membantu memenuhi kebutuhan psikis saya fitur meditasi dengan suara jernih instruksi jelas benarbenar memudahkan gonna update to pro real soon thanks"
"328","tolong perbaiki aplikasi ini saya adalah pengguna berbayar saya sering telah menyelesaikan sesi pertama namun di hari berikutnya tetap saja sesi kedua tidak terbuka padahal saya tidak melakukan skip dan internet masih saja berjalan"
"329","psikolog nya kurang bisa membantu dan slow respon padahal di waktu jdi lama di nunggu balesan aja "
